Area and  sex,Category,Indicator,Value
Ramechhap,Total,Can read only,556
Ramechhap,Total,Can't read & write,50211
Ramechhap,Total,Not stated,7
Ramechhap,Male,Population aged 5 years & above,75154
Ramechhap,Male,Can read & write,58526
Ramechhap,Male,Can read only,239
Ramechhap,Male,Can't read & write,16386
Ramechhap,Male,Not stated,3
Ramechhap,Female,Population aged 5 years & above,84120
Ramechhap,Female,Can read & write,49974
Ramechhap,Female,Can read only,317
Ramechhap,Female,Can't read & write,33825
Ramechhap,Female,Not stated,4
Sindhuli,Total,Population aged 5 years & above,275899
Sindhuli,Total,Can read & write,200269
Sindhuli,Total,Can read only,658
Sindhuli,Total,Can't read & write,74931
Sindhuli,Total,Not stated,41
Sindhuli,Male,Population aged 5 years & above,134612
Sindhuli,Male,Can read & write,107732
Sindhuli,Male,Can read only,285
Sindhuli,Male,Can't read & write,26573
Sindhuli,Male,Not stated,22
Sindhuli,Female,Population aged 5 years & above,141287
Sindhuli,Female,Can read & write,92537
Sindhuli,Female,Can read only,373
Sindhuli,Female,Can't read & write,48358
Sindhuli,Female,Not stated,19
Makwanpur,Total,Population aged 5 years & above,429414
Makwanpur,Total,Can read & write,334161
Makwanpur,Total,Can read only,1112
Makwanpur,Total,Can't read & write,94136
Makwanpur,Total,Not stated,5
Makwanpur,Male,Population aged 5 years & above,214758
Makwanpur,Male,Can read & write,180405
Makwanpur,Male,Can read only,491
Makwanpur,Male,Can't read & write,33860
Makwanpur,Male,Not stated,2
Makwanpur,Female,Population aged 5 years & above,214656
Makwanpur,Female,Can read & write,153756
Makwanpur,Female,Can read only,621
Makwanpur,Female,Can't read & write,60276
Makwanpur,Female,Not stated,3
Chitawan,Total,Population aged 5 years & above,669392
Chitawan,Total,Can read & write,560119
Chitawan,Total,Can read only,2188
Chitawan,Total,Can't read & write,107052
Chitawan,Total,Not stated,33
Chitawan,Male,Population aged 5 years & above,324729
Chitawan,Male,Can read & write,288727
Chitawan,Male,Can read only,799
Chitawan,Male,Can't read & write,35190
Chitawan,Male,Not stated,13
Chitawan,Female,Population aged 5 years & above,344663
Chitawan,Female,Can read & write,271392
Chitawan,Female,Can read only,1389
Chitawan,Female,Can't read & write,71862
Chitawan,Female,Not stated,20
Gorkha,Total,Population aged 5 years & above,234195
Gorkha,Total,Can read & write,169477
Gorkha,Total,Can read only,2803
Gorkha,Total,Can't read & write,61598
Gorkha,Total,Not stated,317
Gorkha,Male,Population aged 5 years & above,109347
Gorkha,Male,Can read & write,88053
Gorkha,Male,Can read only,1052
Gorkha,Male,Can't read & write,20107
Gorkha,Male,Not stated,135
Gorkha,Female,Population aged 5 years & above,124848
Gorkha,Female,Can read & write,81424
Gorkha,Female,Can read only,1751
Gorkha,Female,Can't read & write,41491
Gorkha,Female,Not stated,182
Manang,Total,Population aged 5 years & above,5379
Manang,Total,Can read & write,4215
Manang,Total,Can read only,143
Manang,Total,Can't read & write,1021
Manang,Total,Not stated,0
Manang,Male,Population aged 5 years & above,3055
Manang,Male,Can read & write,2650
Manang,Male,Can read only,66
Manang,Male,Can't read & write,339
Manang,Male,Not stated,0
Manang,Female,Population aged 5 years & above,2324
Manang,Female,Can read & write,1565
Manang,Female,Can read only,77
Manang,Female,Can't read & write,682
Manang,Female,Not stated,0
Mustang,Total,Population aged 5 years & above,13689
Mustang,Total,Can read & write,10274
Mustang,Total,Can read only,241
Mustang,Total,Can't read & write,3137
Mustang,Total,Not stated,37
Mustang,Male,Population aged 5 years & above,7548
Mustang,Male,Can read & write,6303
Mustang,Male,Can read only,95
Mustang,Male,Can't read & write,1129
Mustang,Male,Not stated,21
Mustang,Female,Population aged 5 years & above,6141
Mustang,Female,Can read & write,3971
Mustang,Female,Can read only,146
Mustang,Female,Can't read & write,2008
Mustang,Female,Not stated,16
Myagdi,Total,Population aged 5 years & above,99025
Myagdi,Total,Can read & write,78918
Myagdi,Total,Can read only,422
Myagdi,Total,Can't read & write,19531
Myagdi,Total,Not stated,154
Myagdi,Male,Population aged 5 years & above,47933
Myagdi,Male,Can read & write,42041
Myagdi,Male,Can read only,140
Myagdi,Male,Can't read & write,5666
Myagdi,Male,Not stated,86
Myagdi,Female,Population aged 5 years & above,51092
Myagdi,Female,Can read & write,36877
Myagdi,Female,Can read only,282
Myagdi,Female,Can't read & write,13865
Myagdi,Female,Not stated,68
Kaski,Total,Population aged 5 years & above,562838
Kaski,Total,Can read & write,493776
Kaski,Total,Can read only,3753
Kaski,Total,Can't read & write,63972
Kaski,Total,Not stated,1337
Kaski,Male,Population aged 5 years & above,272702
Kaski,Male,Can read & write,254723
Kaski,Male,Can read only,1151
Kaski,Male,Can't read & write,16217
Kaski,Male,Not stated,611
Kaski,Female,Population aged 5 years & above,290136
Kaski,Female,Can read & write,239053
Kaski,Female,Can read only,2602
Kaski,Female,Can't read & write,47755
Kaski,Female,Not stated,726
Lamjung,Total,Population aged 5 years & above,146546
Lamjung,Total,Can read & write,113561
Lamjung,Total,Can read only,1252
Lamjung,Total,Can't read & write,31632
Lamjung,Total,Not stated,101
Lamjung,Male,Population aged 5 years & above,69073
Lamjung,Male,Can read & write,59152
Lamjung,Male,Can read only,476
Lamjung,Male,Can't read & write,9398
Lamjung,Male,Not stated,47
Lamjung,Female,Population aged 5 years & above,77473
Lamjung,Female,Can read & write,54409
Lamjung,Female,Can read only,776
Lamjung,Female,Can't read & write,22234
Lamjung,Female,Not stated,54
Tanahu,Total,Population aged 5 years & above,299248
Tanahu,Total,Can read & write,244178
Tanahu,Total,Can read only,2048
Tanahu,Total,Can't read & write,52457
Tanahu,Total,Not stated,565
Tanahu,Male,Population aged 5 years & above,138447
Tanahu,Male,Can read & write,123240
Tanahu,Male,Can read only,703
Tanahu,Male,Can't read & write,14263
Tanahu,Male,Not stated,241
Tanahu,Female,Population aged 5 years & above,160801
Tanahu,Female,Can read & write,120938
Tanahu,Female,Can read only,1345
Tanahu,Female,Can't read & write,38194
Tanahu,Female,Not stated,324
Nawalparasi (East),Total,Population aged 5 years & above,349586
Nawalparasi (East),Total,Can read & write,287893
Nawalparasi (East),Total,Can read only,2898
Nawalparasi (East),Total,Can't read & write,58262
Nawalparasi (East),Total,Not stated,533
Nawalparasi (East),Male,Population aged 5 years & above,162631
Nawalparasi (East),Male,Can read & write,144268
Nawalparasi (East),Male,Can read only,1015
Nawalparasi (East),Male,Can't read & write,17091
Nawalparasi (East),Male,Not stated,257
Nawalparasi (East),Female,Population aged 5 years & above,186955
Nawalparasi (East),Female,Can read & write,143625
Nawalparasi (East),Female,Can read only,1883
Nawalparasi (East),Female,Can't read & write,41171
Nawalparasi (East),Female,Not stated,276
Syangja,Total,Population aged 5 years & above,236382
Syangja,Total,Can read & write,193051
Syangja,Total,Can read only,1481
Syangja,Total,Can't read & write,41615
Syangja,Total,Not stated,235
Syangja,Male,Population aged 5 years & above,107838
Syangja,Male,Can read & write,96853
Syangja,Male,Can read only,509
Syangja,Male,Can't read & write,10365
Syangja,Male,Not stated,111
Syangja,Female,Population aged 5 years & above,128544
Syangja,Female,Can read & write,96198
Syangja,Female,Can read only,972
Syangja,Female,Can't read & write,31250
Syangja,Female,Not stated,124
Parbat,Total,Population aged 5 years & above,121631
Parbat,Total,Can read & write,97452
Parbat,Total,Can read only,753
Parbat,Total,Can't read & write,23248
Parbat,Total,Not stated,178
Parbat,Male,Population aged 5 years & above,56709
Parbat,Male,Can read & write,49986
Parbat,Male,Can read only,276
Parbat,Male,Can't read & write,6366
Parbat,Male,Not stated,81
Parbat,Female,Population aged 5 years & above,64922
Parbat,Female,Can read & write,47466
Parbat,Female,Can read only,477
Parbat,Female,Can't read & write,16882
Parbat,Female,Not stated,97
Baglung,Total,Population aged 5 years & above,228978
Baglung,Total,Can read & write,183115
Baglung,Total,Can read only,2458
Baglung,Total,Can't read & write,43169
Baglung,Total,Not stated,236
Baglung,Male,Population aged 5 years & above,105441
Baglung,Male,Can read & write,92020
Baglung,Male,Can read only,849
Baglung,Male,Can't read & write,12466
Baglung,Male,Not stated,106
Baglung,Female,Population aged 5 years & above,123537
Baglung,Female,Can read & write,91095
Baglung,Female,Can read only,1609
Baglung,Female,Can't read & write,30703
Baglung,Female,Not stated,130
Rukum (East),Total,Population aged 5 years & above,51170
Rukum (East),Total,Can read & write,36510
Rukum (East),Total,Can read only,165
Rukum (East),Total,Can't read & write,14468
Rukum (East),Total,Not stated,27
Rukum (East),Male,Population aged 5 years & above,24584
Rukum (East),Male,Can read & write,19584
Rukum (East),Male,Can read only,81
Rukum (East),Male,Can't read & write,4908
Rukum (East),Male,Not stated,11
Rukum (East),Female,Population aged 5 years & above,26586
Rukum (East),Female,Can read & write,16926
Rukum (East),Female,Can read only,84
Rukum (East),Female,Can't read & write,9560
Rukum (East),Female,Not stated,16
Rolpa,Total,Population aged 5 years & above,210714
Rolpa,Total,Can read & write,159372
Rolpa,Total,Can read only,1597
Rolpa,Total,Can't read & write,49614
Rolpa,Total,Not stated,131
Rolpa,Male,Population aged 5 years & above,97453
Rolpa,Male,Can read & write,81848
Rolpa,Male,Can read only,543
Rolpa,Male,Can't read & write,15004
Rolpa,Male,Not stated,58
Rolpa,Female,Population aged 5 years & above,113261
Rolpa,Female,Can read & write,77524
Rolpa,Female,Can read only,1054
Rolpa,Female,Can't read & write,34610
Rolpa,Female,Not stated,73
Pyuthan,Total,Population aged 5 years & above,210494
Pyuthan,Total,Can read & write,168663
Pyuthan,Total,Can read only,997
Pyuthan,Total,Can't read & write,40758
Pyuthan,Total,Not stated,76
Pyuthan,Male,Population aged 5 years & above,92881
Pyuthan,Male,Can read & write,81625
Pyuthan,Male,Can read only,327
Pyuthan,Male,Can't read & write,10899
Pyuthan,Male,Not stated,30
Pyuthan,Female,Population aged 5 years & above,117613
Pyuthan,Female,Can read & write,87038
Pyuthan,Female,Can read only,670
Pyuthan,Female,Can't read & write,29859
Pyuthan,Female,Not stated,46
Gulmi,Total,Population aged 5 years & above,226675
Gulmi,Total,Can read & write,182112
Gulmi,Total,Can read only,1495
Gulmi,Total,Can't read & write,43004
Gulmi,Total,Not stated,64
Gulmi,Male,Population aged 5 years & above,101591
Gulmi,Male,Can read & write,89408
Gulmi,Male,Can read only,452
Gulmi,Male,Can't read & write,11701
Gulmi,Male,Not stated,30
Gulmi,Female,Population aged 5 years & above,125084
Gulmi,Female,Can read & write,92704
Gulmi,Female,Can read only,1043
Gulmi,Female,Can't read & write,31303
Gulmi,Female,Not stated,34
Arghakhanchi,Total,Population aged 5 years & above,162593
Arghakhanchi,Total,Can read & write,130150
Arghakhanchi,Total,Can read only,1182
Arghakhanchi,Total,Can't read & write,31210
Arghakhanchi,Total,Not stated,51
Arghakhanchi,Male,Population aged 5 years & above,72818
Arghakhanchi,Male,Can read & write,63896
Arghakhanchi,Male,Can read only,400
Arghakhanchi,Male,Can't read & write,8500
Arghakhanchi,Male,Not stated,22
Arghakhanchi,Female,Population aged 5 years & above,89775
Arghakhanchi,Female,Can read & write,66254
Arghakhanchi,Female,Can read only,782
Arghakhanchi,Female,Can't read & write,22710
Arghakhanchi,Female,Not stated,29
Palpa,Total,Population aged 5 years & above,227126
Palpa,Total,Can read & write,190041
Palpa,Total,Can read only,1411
Palpa,Total,Can't read & write,35586
Palpa,Total,Not stated,88
Palpa,Male,Population aged 5 years & above,103283
Palpa,Male,Can read & write,93483
Palpa,Male,Can read only,429
Palpa,Male,Can't read & write,9331
Palpa,Male,Not stated,40
Palpa,Female,Population aged 5 years & above,123843
Palpa,Female,Can read & write,96558
Palpa,Female,Can read only,982
Palpa,Female,Can't read & write,26255
Palpa,Female,Not stated,48
Nawalparasi (West),Total,Population aged 5 years & above,355735
Nawalparasi (West),Total,Can read & write,277362
Nawalparasi (West),Total,Can read only,2110
Nawalparasi (West),Total,Can't read & write,76103
Nawalparasi (West),Total,Not stated,160
Nawalparasi (West),Male,Population aged 5 years & above,171876
Nawalparasi (West),Male,Can read & write,148280
Nawalparasi (West),Male,Can read only,702
Nawalparasi (West),Male,Can't read & write,22809
Nawalparasi (West),Male,Not stated,85
Nawalparasi (West),Female,Population aged 5 years & above,183859
Nawalparasi (West),Female,Can read & write,129082
Nawalparasi (West),Female,Can read only,1408
Nawalparasi (West),Female,Can't read & write,53294
Nawalparasi (West),Female,Not stated,75
Rupandehi,Total,Population aged 5 years & above,1030270
Rupandehi,Total,Can read & write,836866
Rupandehi,Total,Can read only,3508
Rupandehi,Total,Can't read & write,189222
Rupandehi,Total,Not stated,674
Rupandehi,Male,Population aged 5 years & above,501978
Rupandehi,Male,Can read & write,443557
Rupandehi,Male,Can read only,1370
Rupandehi,Male,Can't read & write,56721
Rupandehi,Male,Not stated,330
Rupandehi,Female,Population aged 5 years & above,528292
Rupandehi,Female,Can read & write,393309
Rupandehi,Female,Can read only,2138
Rupandehi,Female,Can't read & write,132501
Rupandehi,Female,Not stated,344
Kapilbastu,Total,Population aged 5 years & above,614334
Kapilbastu,Total,Can read & write,441191
Kapilbastu,Total,Can read only,3053
Kapilbastu,Total,Can't read & write,169738
Kapilbastu,Total,Not stated,352
Kapilbastu,Male,Population aged 5 years & above,299627
Kapilbastu,Male,Can read & write,238606
Kapilbastu,Male,Can read only,1396
Kapilbastu,Male,Can't read & write,59462
Kapilbastu,Male,Not stated,163
Kapilbastu,Female,Population aged 5 years & above,314707
Kapilbastu,Female,Can read & write,202585
Kapilbastu,Female,Can read only,1657
Kapilbastu,Female,Can't read & write,110276
Kapilbastu,Female,Not stated,189
Dang,Total,Population aged 5 years & above,621657
Dang,Total,Can read & write,506028
Dang,Total,Can read only,2164
Dang,Total,Can't read & write,113198
Dang,Total,Not stated,267
Dang,Male,Population aged 5 years & above,292436
Dang,Male,Can read & write,256908
Dang,Male,Can read only,735
Dang,Male,Can't read & write,34670
Dang,Male,Not stated,123
Dang,Female,Population aged 5 years & above,329221
Dang,Female,Can read & write,249120
Dang,Female,Can read only,1429
Dang,Female,Can't read & write,78528
Dang,Female,Not stated,144
Banke,Total,Population aged 5 years & above,548821
Banke,Total,Can read & write,402832
Banke,Total,Can read only,2874
Banke,Total,Can't read & write,142819
Banke,Total,Not stated,296
Banke,Male,Population aged 5 years & above,267947
Banke,Male,Can read & write,213308
Banke,Male,Can read only,1217
Banke,Male,Can't read & write,53286
Banke,Male,Not stated,136
Banke,Female,Population aged 5 years & above,280874
Banke,Female,Can read & write,189524
Banke,Female,Can read only,1657
Banke,Female,Can't read & write,89533
Banke,Female,Not stated,160
Bardiya,Total,Population aged 5 years & above,422648
Bardiya,Total,Can read & write,324806
Bardiya,Total,Can read only,4677
Bardiya,Total,Can't read & write,93031
Bardiya,Total,Not stated,134
Bardiya,Male,Population aged 5 years & above,197156
Bardiya,Male,Can read & write,163515
Bardiya,Male,Can read only,1577
Bardiya,Male,Can't read & write,32002
Bardiya,Male,Not stated,62
Bardiya,Female,Population aged 5 years & above,225492
Bardiya,Female,Can read & write,161291
Bardiya,Female,Can read only,3100
Bardiya,Female,Can't read & write,61029
Bardiya,Female,Not stated,72
Dolpa,Total,Population aged 5 years & above,39136
Dolpa,Total,Can read & write,26229
Dolpa,Total,Can read only,486
Dolpa,Total,Can't read & write,12379
Dolpa,Total,Not stated,42
Dolpa,Male,Population aged 5 years & above,19552
Dolpa,Male,Can read & write,14734
Dolpa,Male,Can read only,186
Dolpa,Male,Can't read & write,4613
Dolpa,Male,Not stated,19
Dolpa,Female,Population aged 5 years & above,19584
Dolpa,Female,Can read & write,11495
Dolpa,Female,Can read only,300
Dolpa,Female,Can't read & write,7766
Dolpa,Female,Not stated,23
Mugu,Total,Population aged 5 years & above,57609
Mugu,Total,Can read & write,39225
Mugu,Total,Can read only,331
Mugu,Total,Can't read & write,18027
Mugu,Total,Not stated,26
Mugu,Male,Population aged 5 years & above,28852
Mugu,Male,Can read & write,22299
Mugu,Male,Can read only,170
Mugu,Male,Can't read & write,6373
Mugu,Male,Not stated,10
Mugu,Female,Population aged 5 years & above,28757
Mugu,Female,Can read & write,16926
Mugu,Female,Can read only,161
Mugu,Female,Can't read & write,11654
Mugu,Female,Not stated,16
Humla,Total,Population aged 5 years & above,49325
Humla,Total,Can read & write,31491
Humla,Total,Can read only,286
Humla,Total,Can't read & write,17490
Humla,Total,Not stated,58
Humla,Male,Population aged 5 years & above,24763
Humla,Male,Can read & write,18164
Humla,Male,Can read only,129
Humla,Male,Can't read & write,6437
Humla,Male,Not stated,33
Humla,Female,Population aged 5 years & above,24562
Humla,Female,Can read & write,13327
Humla,Female,Can read only,157
Humla,Female,Can't read & write,11053
Humla,Female,Not stated,25
Jumla,Total,Population aged 5 years & above,107647
Jumla,Total,Can read & write,75564
Jumla,Total,Can read only,746
Jumla,Total,Can't read & write,30888
Jumla,Total,Not stated,449
Jumla,Male,Population aged 5 years & above,53523
Jumla,Male,Can read & write,42246
Jumla,Male,Can read only,274
Jumla,Male,Can't read & write,10785
Jumla,Male,Not stated,218
Jumla,Female,Population aged 5 years & above,54124
Jumla,Female,Can read & write,33318
Jumla,Female,Can read only,472
Jumla,Female,Can't read & write,20103
Jumla,Female,Not stated,231
Kalikot,Total,Population aged 5 years & above,128678
Kalikot,Total,Can read & write,93570
Kalikot,Total,Can read only,801
Kalikot,Total,Can't read & write,34135
Kalikot,Total,Not stated,172
Kalikot,Male,Population aged 5 years & above,63528
Kalikot,Male,Can read & write,50700
Kalikot,Male,Can read only,368
Kalikot,Male,Can't read & write,12374
Kalikot,Male,Not stated,86
Kalikot,Female,Population aged 5 years & above,65150
Kalikot,Female,Can read & write,42870
Kalikot,Female,Can read only,433
Kalikot,Female,Can't read & write,21761
Kalikot,Female,Not stated,86
Dailekh,Total,Population aged 5 years & above,225508
Dailekh,Total,Can read & write,170256
Dailekh,Total,Can read only,1156
Dailekh,Total,Can't read & write,53895
Dailekh,Total,Not stated,201
Dailekh,Male,Population aged 5 years & above,106835
Dailekh,Male,Can read & write,88719
Dailekh,Male,Can read only,444
Dailekh,Male,Can't read & write,17575
Dailekh,Male,Not stated,97
Dailekh,Female,Population aged 5 years & above,118673
Dailekh,Female,Can read & write,81537
Dailekh,Female,Can read only,712
Dailekh,Female,Can't read & write,36320
Dailekh,Female,Not stated,104
Jajarkot,Total,Population aged 5 years & above,167750
Jajarkot,Total,Can read & write,126648
Jajarkot,Total,Can read only,1036
Jajarkot,Total,Can't read & write,39895
Jajarkot,Total,Not stated,171
Jajarkot,Male,Population aged 5 years & above,83005
Jajarkot,Male,Can read & write,67485
Jajarkot,Male,Can read only,472
Jajarkot,Male,Can't read & write,14960
Jajarkot,Male,Not stated,88
Jajarkot,Female,Population aged 5 years & above,84745
Jajarkot,Female,Can read & write,59163
Jajarkot,Female,Can read only,564
Jajarkot,Female,Can't read & write,24935
Jajarkot,Female,Not stated,83
Rukum (West),Total,Population aged 5 years & above,150201
Rukum (West),Total,Can read & write,113762
Rukum (West),Total,Can read only,604
Rukum (West),Total,Can't read & write,35688
Rukum (West),Total,Not stated,147
Rukum (West),Male,Population aged 5 years & above,72256
Rukum (West),Male,Can read & write,59645
Rukum (West),Male,Can read only,237
Rukum (West),Male,Can't read & write,12308
Rukum (West),Male,Not stated,66
Rukum (West),Female,Population aged 5 years & above,77945
Rukum (West),Female,Can read & write,54117
Rukum (West),Female,Can read only,367
Rukum (West),Female,Can't read & write,23380
Rukum (West),Female,Not stated,81
Salyan,Total,Population aged 5 years & above,215417
Salyan,Total,Can read & write,166510
Salyan,Total,Can read only,1394
Salyan,Total,Can't read & write,47342
Salyan,Total,Not stated,171
Salyan,Male,Population aged 5 years & above,102832
Salyan,Male,Can read & write,87356
Salyan,Male,Can read only,433
Salyan,Male,Can't read & write,14961
Salyan,Male,Not stated,82
Salyan,Female,Population aged 5 years & above,112585
Salyan,Female,Can read & write,79154
Salyan,Female,Can read only,961
Salyan,Female,Can't read & write,32381
Salyan,Female,Not stated,89
Surkhet,Total,Population aged 5 years & above,378340
Surkhet,Total,Can read & write,312939
Surkhet,Total,Can read only,2140
Surkhet,Total,Can't read & write,62958
Surkhet,Total,Not stated,303
Surkhet,Male,Population aged 5 years & above,180057
Surkhet,Male,Can read & write,160721
Surkhet,Male,Can read only,685
Surkhet,Male,Can't read & write,18501
Surkhet,Male,Not stated,150
Surkhet,Female,Population aged 5 years & above,198283
Surkhet,Female,Can read & write,152218
Surkhet,Female,Can read only,1455
Surkhet,Female,Can't read & write,44457
Surkhet,Female,Not stated,153
Bajura,Total,Population aged 5 years & above,123900
Bajura,Total,Can read & write,88267
Bajura,Total,Can read only,530
Bajura,Total,Can't read & write,35020
Bajura,Total,Not stated,83
Bajura,Male,Population aged 5 years & above,59464
Bajura,Male,Can read & write,47469
Bajura,Male,Can read only,218
Bajura,Male,Can't read & write,11740
Bajura,Male,Not stated,37
Bajura,Female,Population aged 5 years & above,64436
Bajura,Female,Can read & write,40798
Bajura,Female,Can read only,312
Bajura,Female,Can't read & write,23280
Bajura,Female,Not stated,46
Bajhang,Total,Population aged 5 years & above,170413
Bajhang,Total,Can read & write,120205
Bajhang,Total,Can read only,757
Bajhang,Total,Can't read & write,49392
Bajhang,Total,Not stated,59
Bajhang,Male,Population aged 5 years & above,78713
Bajhang,Male,Can read & write,65202
Bajhang,Male,Can read only,286
Bajhang,Male,Can't read & write,13195
Bajhang,Male,Not stated,30
Bajhang,Female,Population aged 5 years & above,91700
Bajhang,Female,Can read & write,55003
Bajhang,Female,Can read only,471
Bajhang,Female,Can't read & write,36197
Bajhang,Female,Not stated,29
Darchula,Total,Population aged 5 years & above,122340
Darchula,Total,Can read & write,95146
Darchula,Total,Can read only,488
Darchula,Total,Can't read & write,26659
Darchula,Total,Not stated,47
Darchula,Female,Population aged 5 years & above,63740
Darchula,Female,Can read & write,43970
Darchula,Female,Can read only,329
Darchula,Female,Can't read & write,19416
Darchula,Female,Not stated,25
Baitadi,Total,Population aged 5 years & above,219006
Baitadi,Total,Can read & write,168167
Baitadi,Total,Can read only,1232
Baitadi,Total,Can't read & write,49462
Baitadi,Total,Not stated,145
Baitadi,Male,Population aged 5 years & above,101488
Baitadi,Male,Can read & write,89005
Baitadi,Male,Can read only,436
Baitadi,Male,Can't read & write,11985
Baitadi,Male,Not stated,62
Baitadi,Female,Population aged 5 years & above,117518
Baitadi,Female,Can read & write,79162
Baitadi,Female,Can read only,796
Baitadi,Female,Can't read & write,37477
Baitadi,Female,Not stated,83
Dadeldhura,Total,Population aged 5 years & above,126692
Dadeldhura,Total,Can read & write,99059
Dadeldhura,Total,Can read only,876
Dadeldhura,Total,Can't read & write,26705
Dadeldhura,Total,Not stated,52
Dadeldhura,Male,Population aged 5 years & above,58942
Dadeldhura,Male,Can read & write,52521
Dadeldhura,Male,Can read only,258
Dadeldhura,Male,Can't read & write,6138
Dadeldhura,Male,Not stated,25
Dadeldhura,Female,Population aged 5 years & above,67750
Dadeldhura,Female,Can read & write,46538
Dadeldhura,Female,Can read only,618
Dadeldhura,Female,Can't read & write,20567
Dadeldhura,Female,Not stated,27
Doti,Total,Population aged 5 years & above,182722
Doti,Total,Can read & write,129257
Doti,Total,Can read only,1530
Doti,Total,Can't read & write,51870
Doti,Total,Not stated,65
Doti,Male,Population aged 5 years & above,81848
Doti,Male,Can read & write,67860
Doti,Male,Can read only,582
Doti,Male,Can't read & write,13375
Doti,Male,Not stated,31
Doti,Female,Population aged 5 years & above,100874
Doti,Female,Can read & write,61397
Doti,Female,Can read only,948
Doti,Female,Can't read & write,38495
Doti,Female,Not stated,34
Achham,Total,Population aged 5 years & above,203771
Achham,Total,Can read & write,148014
Achham,Total,Can read only,1311
Achham,Total,Can't read & write,54316
Achham,Total,Not stated,130
Achham,Male,Population aged 5 years & above,92364
Achham,Male,Can read & write,76451
Achham,Male,Can read only,475
Achham,Male,Can't read & write,15387
Achham,Male,Not stated,51
Achham,Female,Population aged 5 years & above,111407
Achham,Female,Can read & write,71563
Achham,Female,Can read only,836
Achham,Female,Can't read & write,38929
Achham,Female,Not stated,79
Kailali,Total,Population aged 5 years & above,834407
Kailali,Total,Can read & write,647609
Kailali,Total,Can read only,5969
Kailali,Total,Can't read & write,180477
Kailali,Total,Not stated,352
Kailali,Male,Population aged 5 years & above,395502
Kailali,Male,Can read & write,336797
Kailali,Male,Can read only,2034
Kailali,Male,Can't read & write,56505
Kailali,Male,Not stated,166
Kailali,Female,Population aged 5 years & above,438905
Kailali,Female,Can read & write,310812
Kailali,Female,Can read only,3935
Kailali,Female,Can't read & write,123972
Kailali,Female,Not stated,186
Kanchanpur,Total,Population aged 5 years & above,472393
Kanchanpur,Total,Can read & write,376228
Kanchanpur,Total,Can read only,2947
Kanchanpur,Total,Can't read & write,93095
Kanchanpur,Total,Not stated,123
Kanchanpur,Male,Population aged 5 years & above,218097
Kanchanpur,Male,Can read & write,191734
Kanchanpur,Male,Can read only,1021
Kanchanpur,Male,Can't read & write,25276
Kanchanpur,Male,Not stated,66
Kanchanpur,Female,Population aged 5 years & above,254296
Kanchanpur,Female,Can read & write,184494
Kanchanpur,Female,Can read only,1926
Kanchanpur,Female,Can't read & write,67819
Kanchanpur,Female,Not stated,57
